企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社ファンデリー（東証マザーズ上場）,https://www.fundely.co.jp/,https://employment.en-japan.com/desc_1041721/?PK=035AB1&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
一般社団法人人生戦略研究協会,,https://employment.en-japan.com/desc_1041874/?PK=035AB1&arearoute=1,〒340-0822/八潮市大瀬1-11-1,代表理事,048-915-2329,
株式会社茨進,https://www.ibashin-co.jp/,https://employment.en-japan.com/desc_1041894/?PK=035AB1&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　茨進採用事務局,sss-info@en-japan.com,
株式会社トップ・ビジョン,https://kids-vision.jp,https://employment.en-japan.com/desc_1039170/?PK=035AB1&arearoute=1,【本社】/〒135-0048/東京都江東区門前仲町1-9-5　門前仲町1丁目ビル5階,採用担当, 03-6458-5851,
株式会社LITALICO,http://litalico.co.jp/,https://employment.en-japan.com/desc_1013667/?PK=035AB1&arearoute=1,【東京本社】/〒153-0051　東京都目黒区上目黒2-1-1　中目黒GTタワー15F,採用担当,0120-689-713,recruit@litalico.co.jp
医療法人山本歯科 大阪中之島デンタルクリニック,http://www.osakanakanoshima-dc.com/,https://employment.en-japan.com/desc_1035128/?PK=035AB1&arearoute=1,【大阪中之島デンタルクリニック】/〒553-0003/大阪市福島区福島1-1-51 堂島クロスウォーク4F 大阪中之島クリニックモール内,採用担当,06-6453-2111,
医療法人社団立靖会,http://www.risseikai.net/,https://employment.en-japan.com/desc_1040100/?PK=035AB1&arearoute=1,＜事務局＞/〒101-0054 /東京都千代田区神田錦町2-4 ダヴィンチ小川町7F,採用担当,03-5577-4045,
湘南美容クリニック（株式会社湘美会）,http://www.s-b-c.net,https://employment.en-japan.com/desc_1041358/?PK=035AB1&arearoute=1,本社／東京都新宿区西新宿6-5-1 アイランドタワー12F,SBC事務局　人事部　採用担当,050-5865-5943,
神奈川ロイヤル株式会社,https://www.royal-h.jp/sogo/index.html,https://employment.en-japan.com/desc_1041433/?PK=035AB1&arearoute=1,〒160-0023/東京都新宿区西新宿7-10-1　O-GUARD新宿10F,採用担当,0120-25-1811,
株式会社孫の手倶楽部,https://www.magonoteclub.co.jp/,https://employment.en-japan.com/desc_1041807/?PK=035AB1&arearoute=1,〒162-0822　/東京都新宿区下宮比町2番18号　グランドメゾン飯田橋804,採用担当,03-5228-1351,
株式会社クスリのアオキ,http://www.kusuri-aoki.co.jp/,https://employment.en-japan.com/desc_1025227/?PK=035AB1&arearoute=1,〒924-8510/石川県白山市横江町4街区1番,076-274-6113,,
株式会社フュービック,http://fubic.com/,https://employment.en-japan.com/desc_1029580/?PK=035AB1&arearoute=1,〒169-0073 /東京都新宿区百人町1-13-1　ローズベイ新宿ビル2階,採用担当,03-6279-1554,
株式会社東横イン,https://www.toyoko-inn.com,https://employment.en-japan.com/desc_1036697/?PK=035AB1&arearoute=1,〒144-0054/東京都大田区新蒲田1‐7‐4,グローバル人財開発部 採用担当,saiyou@toyoko-inn.com,
こころグループ,http://cocoro-fukushikai.or.jp/,https://employment.en-japan.com/desc_1040930/?PK=035AB1&arearoute=1,今回のこころグループの合同募集の応募受付は、社会福祉法人こころ福祉会が行ないます。//〒101-0047/東京都千代田区内神田町2丁目5番5号　ヒューリック大手町北ビル1階、2階（受付は1階になります）,採用担当,03-6206-4021,
社会福祉法人川福会,https://kawafukukai.or.jp/,https://employment.en-japan.com/desc_1037238/?PK=035AB1&arearoute=1,【管理統括部】/〒577-0013/東大阪市長田中1丁目4-17 長田センタービル310号,採用担当　梶原,06-4306-3877,
医療法人徳和会,https://www.e7-e8.com/,https://employment.en-japan.com/desc_1037923/?PK=035AB1&arearoute=1,〒802-0841　/福岡県北九州市小倉南区北方1丁目12-40　第一菊ビル2階,上田,093-921-1806,
医療法人徳和会,https://www.e7-e8.com/,https://employment.en-japan.com/desc_1037925/?PK=035AB1&arearoute=1,〒802-0841　/福岡県北九州市小倉南区北方1丁目12-40　第一菊ビル2階,上田,093-921-1806,
社会福祉法人あおぞら共生会,http://www.aozora-kyouseikai.com/,https://employment.en-japan.com/desc_1038004/?PK=035AB1&arearoute=1,〒210-0848　神奈川県川崎市川崎区京町1-16-25,福田,044-328-7363,
社会福祉法人枚方療育園 ビアンエトール恭愛,https://www.bienetre-k.jp/,https://employment.en-japan.com/desc_1038522/?PK=035AB1&arearoute=1,【特別養護老人ホーム 山愛】大阪府大阪市西成区南津守1-4-7,採用担当,06-6656-7001,
医療法人永仁会 永仁会シーズクリニック,http://www.toko-pet.jp,https://employment.en-japan.com/desc_1039030/?PK=035AB1&arearoute=1,永仁会シーズクリニック／〒359-1124/埼玉県所沢市東住吉7-5,採用担当,04-2903-7888,
社会福祉法人洛和福祉会,http://www.rakuwa.or.jp/,https://employment.en-japan.com/desc_1039236/?PK=035AB1&arearoute=1,〒112-0012/東京都文京区大塚4-50-1/FAX: 03(3941)6333,採用担当,090(6653)0371 03(3941)6669 ※営業電話はお控えください,saiyo@rakuwa.or.jp
医療法人陽明会,https://www.iryouhoujin-youmeikai.com,https://employment.en-japan.com/desc_1039253/?PK=035AB1&arearoute=1,＜本社＞/愛知県名古屋市熱田区幡野町17-10,桑山、辻本,ytsujimoto@magokoro-clinic.com,
株式会社エイチ・エム・グループ,https://www.k-wam.jp/,https://employment.en-japan.com/desc_1039469/?PK=035AB1&arearoute=1,■本社/〒108-0073/東京都港区三田3-7-18 ザ・イトヤマタワー10F,採用担当,03-5443-2200,
株式会社ポケットキャッチ,http://www.pocketcatch.com,https://employment.en-japan.com/desc_1040169/?PK=035AB1&arearoute=1,■株式会社ポケットキャッチ／〒355-0073　埼玉県東松山市上野本1412/※親会社である株式会社関根商事関根建築設計室が代表して、選考に関するお問い合わせの対応を行ないます。,採用担当,0493-23-6181,
社会福祉法人貴徳会,http://kibounosato.org,https://employment.en-japan.com/desc_1040340/?PK=035AB1&arearoute=1,■特別養護老人ホーム 希望の郷/〒455-0863/愛知県名古屋市港区新茶屋2-1501,採用担当,052-304-1001,
リゼクリニック（医療法人社団風林会）,https://www.rizeclinic.com/recruit/,https://employment.en-japan.com/desc_1040408/?PK=035AB1&arearoute=1,〒169-0072/東京都新宿区大久保2-4-12 新宿ラムダックスビル801,斎藤・関口,03-5155-6535,
 株式会社リゾートライフ,https://resortlife.co.jp/,https://employment.en-japan.com/desc_1041283/?PK=035AB1&arearoute=1,【 クリスタルリゾートクラブ 】/〒541-0045/大阪府大阪市中央区道修町3-3-8,採用担当,06-6232-3460,
医療法人社団清和会,https://www.saso.or.jp/,https://employment.en-japan.com/desc_1037248/?PK=035AB1&arearoute=1,〒662-0964/兵庫県西宮市弓場5-37,人事採用課　久保,0798-31-0059,
メディカル・ケア・サービス株式会社（学研グループ）,http://www.mcsg.co.jp/,https://employment.en-japan.com/desc_1037775/?PK=035AB1&arearoute=1,【本社】/〒330-6029/埼玉県さいたま市中央区新都心11番地2 ランド・アクシス・タワー 29階,採用担当　綿貫,0120-376-583,
株式会社MAHALOA まはろ骨盤整体,http://www.mahaloa.biz/,https://employment.en-japan.com/desc_1037981/?PK=035AB1&arearoute=1,&lt;本社&gt;/514-0101/三重県津市白塚町1064-1,採用担当,059-273-5705,
大和ハウスライフサポート株式会社　もみの樹・横浜鶴見,https://www.mominoki-life.com/tsurumi/,https://employment.en-japan.com/desc_1039324/?PK=035AB1&arearoute=1,もみの樹・横浜鶴見／〒230-0074 神奈川県横浜市鶴見区北寺尾4-3-1,採用担当,045-580-7180,
ホテル・アルファーワングループ（北陸エリア）	,http://www.alpha-1.co.jp/,https://employment.en-japan.com/desc_1039859/?PK=CECD03&arearoute=1,今回のホテル・アルファーワングループの合同募集の応募受付は、株式会社ホテル・アルファーワン高岡が行ないます。/ホテル・アルファーワン高岡／〒933-0021　富山県高岡市下関町1-35,採用担当　塚原,0766-23-0001,
株式会社アシスト,http://www.assist.ac/,https://employment.en-japan.com/desc_1040182/?PK=CECD03&arearoute=1,〒331-0812/埼玉県さいたま市北区宮原町2-22-2,採用担当,048-662-5112,assist@assist.ac
株式会社ヒューマン・ブレーン,http://www.humanbrain.co.jp,https://employment.en-japan.com/desc_1040953/?PK=CECD03&arearoute=1,【本社】〒530-0001/大阪府大阪市北区梅田1-2-2 大阪駅前第2ビル10階,採用担当,06-6345-3271,
株式会社エルチェ 本社,https://elche.co.jp/,https://employment.en-japan.com/desc_1041354/?PK=CECD03&arearoute=1,〒359-1112/所沢市泉町1861-1こどもと福祉の未来館2階,採用担当,04-2922-2118,
株式会社ココルポート,https://www.cocorport.co.jp/,https://employment.en-japan.com/desc_1041474/?PK=CECD03&arearoute=1,神奈川県川崎市川崎区砂子2-5-11 りそな川崎ビル4F,採用担当,0120-954-724,
株式会社アクトライフ,http://www.aqutlife.jp/,https://employment.en-japan.com/desc_1038112/?PK=CECD03&arearoute=1,〒164-0013/東京都中野区弥生町2-31-9　朝日プラザ中野弥生町1A,採用担当,03-5342-5351,
株式会社桜十字,https://www.sakurajyuji.jp/,https://employment.en-japan.com/desc_1039389/?PK=CECD03&arearoute=1,兵庫県芦屋市朝日ケ丘町8-23,採用担当,0797-23-1414,
株式会社ジャスティー,http://www.justycom.jp/,https://employment.en-japan.com/desc_1040931/?PK=CECD03&arearoute=1,■株式会社ジャスティー/〒153-0043/東京都目黒区東山3-1-15　HOLON池尻ビル3階,採用担当,03-5794-8228(受付時間 11：00～16：00),
株式会社プログリット,https://www.progrit.co.jp/,https://employment.en-japan.com/desc_1036516/?PK=CECD03&arearoute=1,【本社】/〒100-0006/東京都千代田区有楽町2-10-1 516号室,採用担当,03-6381-7760,
株式会社バリューHR,https://www.valuehr.com/docs/,https://employment.en-japan.com/desc_1039691/?PK=CECD03&arearoute=1,【A-PLACE代々木】/〒151-0051/東京都渋谷区千駄ヶ谷5-23-15　A‐PLACE代々木,採用担当,03-6380-1300,
株式会社エイチ・エム・グループ,https://www.k-wam.jp/,https://employment.en-japan.com/desc_1041276/?PK=CECD03&arearoute=1,■本社/〒108-0073/東京都港区三田3-7-18　ザ・イトヤマタワー10F/TEL／03-5443-2200//■大阪支社/〒541-0041/大阪市中央区北浜1-5-5　大阪平和ビル1F/TEL／06-4706-8020,採用担当,,
洛陽交運株式会社,https://www.rakuyo-taxi.co.jp/,https://employment.en-japan.com/desc_1041494/?PK=CECD03&arearoute=1,【本社】/〒601-8444/京都府京都市南区西九条森本町65番地,採用担当,075-691-8101,
株式会社ウェルオフ,http://www.welloff.co.jp/,https://employment.en-japan.com/desc_1013007/?PK=CECD03&arearoute=1,【本社】/〒336-0024/埼玉県さいたま市南区根岸1-3-9　ツネビル1F,採用担当,050-6861-5201,
株式会社エム・シーネットワークスジャパン 銀座カラー,https://ginza-calla.jp/,https://employment.en-japan.com/desc_1039127/?PK=CECD03&arearoute=1,本社／東京都港区六本木3-2-1　住友不動産六本木グランドタワー34階,採用担当,0120-999-870,
株式会社ナチュラル総研,,https://employment.en-japan.com/desc_1039635/?PK=CECD03&arearoute=1,東京都新宿区歌舞伎町2-4-10 KDX東新宿ビル7F,採用担当　山口、堀、本郷、向野,03-5155-1650,
株式会社サザンフォース,,https://employment.en-japan.com/desc_1039869/?PK=CECD03&arearoute=1,＜グループ会社である株式会社WITSが窓口になります。＞//〒101-0032/東京都千代田区岩本町3-3-5　秋葉原SHビル6F,採用担当,03-6240-9118,
株式会社コペル 本社,http://copel.co.jp,https://employment.en-japan.com/desc_1040053/?PK=CECD03&arearoute=1,〒160-0023/東京都新宿区西新宿1-1-6　ミヤコ新宿ビル1203号室,03-6455-4165,,
社会福祉法人賛育会,https://www.san-ikukai.or.jp/,https://employment.en-japan.com/desc_1036828/?PK=CECD03&arearoute=1,【本社】/〒130-0012　東京都墨田区太平3-17-8,人事担当,03-3622-7614,
株式会社ナーシング,https://nursing.co.jp/,https://employment.en-japan.com/desc_1036872/?PK=CECD03&arearoute=1,本社／愛知県名古屋市中区金山1丁目15番14号　トーカンマンション金山506号,代表　鈴木,052-990-2758,
NPO法人ちゅうぶ,https://npochubu.com,https://employment.en-japan.com/desc_1038181/?PK=CECD03&arearoute=1,＜本部＞/〒546-0031/大阪市東住吉区田辺5-5-20,採用担当,06-4703-3740,
社会福祉法人ル・プリ 試行会事業本部,http://le-pli.jp/,https://employment.en-japan.com/desc_1038532/?PK=CECD03&arearoute=1,〒245-0017/神奈川県横浜市泉区下飯田町330番地,採用担当　山下・脇田,045-804-6980,n_yamashita@yss-net.or.jp
株式会社WIN AGENT,https://start-line.net/,https://employment.en-japan.com/desc_1039033/?PK=CECD03&arearoute=1,本社／〒141-0033　東京都品川区西品川3-19-6　リビングライフ大崎ビル3F,採用担当,03-3788-9322,
株式会社中村工務店,http://www.nkm-k.jp/,https://employment.en-japan.com/desc_1039051/?PK=CECD03&arearoute=1,【本社】/〒571-0078/大阪府門真市常盤町7番8号,採用担当,072-883-1136,
社会福祉法人伸こう福祉会,https://www.shinkoufukushikai.com/,https://employment.en-japan.com/desc_1039093/?PK=CECD03&arearoute=1,【みなとみらい事務所】/〒220-8144/横浜市西区みなとみらい2-2-1　横浜ランドマークタワー44F,社会福祉法人伸こう福祉会応募受付センター,050-3138-2912,
株式会社マジオネット マジオドライバーズスクール大垣校,http://www.magionet.co.jp/ogaki/,https://employment.en-japan.com/desc_1039362/?PK=CECD03&arearoute=1,【マジオドライバーズスクール大垣校】/〒503-0858/岐阜県大垣市世安町3-16,豊里,0584-78-4108,
医療法人永寿会 シーサイド病院,http://www.seaside-hp.or.jp/,https://employment.en-japan.com/desc_1039740/?PK=CECD03&arearoute=1,福岡県福岡市西区今津3810番地,採用担当,092-806-7171,
株式会社聖文館,https://www.wa-juku.co.jp/recruit/,https://employment.en-japan.com/desc_1040083/?PK=CECD03&arearoute=1,【本社】/〒654-0023/兵庫県神戸市須磨区戎町3-1-23 聖文館ビル,採用担当　森澤・小田,078-732-5411,
株式会社修優舘,http://syuyukan.com/,https://employment.en-japan.com/desc_1040495/?PK=CECD03&arearoute=1,【本社】/〒553-0005/大阪府大阪市福島区野田3-2-19,採用担当,06-6467-8288,
株式会社Ai,http://cs-ai.info/,https://employment.en-japan.com/desc_1040654/?PK=CECD03&arearoute=1,【株式会社Ai】/〒455-0036/愛知県名古屋市港区浜1-1-14　宇佐美ビル1F東,採用担当,052-659-6106,
宗教法人西光寺 篠崎保育園,https://www.shinozaki.ed.jp/shinozakihoikuen/,https://employment.en-japan.com/desc_1040663/?PK=CECD03&arearoute=1,〒133-0065 東京都江戸川区南篠崎町1-1-24,採用担当,03-3679-3648,
慶應義塾大学病院,http://www.hosp.keio.ac.jp/,https://employment.en-japan.com/desc_1040732/?PK=CECD03&arearoute=1,【慶應義塾大学病院人事課】/〒160-8582/東京都新宿区信濃町35,採用担当,03-5363-3615,
アンダンテ株式会社,http://www.andante-inc.com,https://employment.en-japan.com/desc_1040748/?PK=CECD03&arearoute=1,〒222-0033/横浜市港北区新横浜2‐6-13 新横浜ステーションビル7階A室,採用担当,045-594-8945,
株式会社ブルーム,http://bloom-jpn.net/recruitguide/,https://employment.en-japan.com/desc_1040895/?PK=CECD03&arearoute=1,【本社】/〒220-0023/神奈川県横浜市西区平沼1-1-3 合人社高島橋ビル5F,採用担当,045-410-1575,
株式会社ウィズケア,https://withcare39.com/index.html,https://employment.en-japan.com/desc_1036607/?PK=CECD03&arearoute=1,【ウィズケアステーション】/〒533-0001/大阪市東淀川区井高野1-34-28,採用担当　安藤,06-6829-3903,
埼北總業株式会社 埼北自動車学校,http://www.saihoku-s.co.jp/,https://employment.en-japan.com/desc_1038052/?PK=CECD03&arearoute=1,〒347-0016 /埼玉県加須市花崎北1丁目21番地1,古田さん,0480-65-1212,
ABホテル株式会社,http://www.ab-hotel.jp/,https://employment.en-japan.com/desc_1038255/?PK=CECD03&arearoute=1,〒446-0056/愛知県安城市三河安城町1-9-2　第2東祥ビル6階（本社）,採用担当,0566-79-3013,
学校法人廣池学園,https://www.reitaku.jp/,https://employment.en-japan.com/desc_1038582/?PK=CECD03&arearoute=1,読み取り不可避エラー,,,
株式会社にしむら,http://www.cbc-ds.com/,https://employment.en-japan.com/desc_1038764/?PK=CECD03&arearoute=1,〒452-0818/愛知県名古屋市西区山田町上小田井東古川3117番地,採用担当,052-501-0528,
株式会社グラント,https://child-care.co.jp/,https://employment.en-japan.com/desc_1039386/?PK=CECD03&arearoute=1,本社　株式会社グラント/〒242-0006　神奈川県大和市南林間1-8-17 サウスクラウドビル2F,榎本, 046-272-3853　フリ-ダイヤル／0120-088-047,
東京博善株式会社,http://www.tokyohakuzen.co.jp/,https://employment.en-japan.com/desc_1039574/?PK=CECD03&arearoute=1,【本　社】〒101-0047 東京都千代田区内神田2-5-6 亀田ビル,採用担当,03-3256-4911　※営業のお電話はお控えください,
社会福祉法人愛光会,http://aikoukai.org/,https://employment.en-japan.com/desc_1039586/?PK=CECD03&arearoute=1,〒581-0865/大阪府八尾市服部川3-74-2,採用担当,072-940-5100,
株式会社スマイルアップ,,https://employment.en-japan.com/desc_1040157/?PK=CECD03&arearoute=1,【本社】/〒362-0044/埼玉県上尾市大谷本郷826-22,採用担当,takahashi@hanabusa-japan.co.jp,
特定非営利活動法人ユートピア若宮,https://utopia-wakamiya.jimdofree.com/,https://employment.en-japan.com/desc_1040516/?PK=CECD03&arearoute=1,■本部/〒471-0871/愛知県豊田市元宮町6-19,採用担当,0565-34-3379　※「居宅介護事業所フリ-ステ-ションとよた」に繋がります。,
東京都福祉保健局,https://www.fukushihoken.metro.tokyo.lg.jp/index.html,https://employment.en-japan.com/desc_1038291/?PK=CECD03&arearoute=1,【東京都庁】/〒163-8001/東京都新宿区西新宿2-8-1 第一本庁舎27F南側,採用担当,03-5320-4023,
社会福祉法人宏正会,https://kouseikai-ai.jp/,https://employment.en-japan.com/desc_1038586/?PK=CECD03&arearoute=1,【法人本部】/〒720-2121/広島県福山市神辺町字湯野1004-2,採用担当,084-965-6780,
株式会社エストビューティー,http://www.estbeauty.jp/,https://employment.en-japan.com/desc_1039822/?PK=CECD03&arearoute=1,本社／〒542-0085　大阪市中央区心斎橋筋1-4-1,採用担当,06-4963-8001,
医療法人H&H,http://www.hidakakodomo.com/,https://employment.en-japan.com/desc_1040086/?PK=CECD03&arearoute=1,〒470-2102/愛知県知多郡東浦町大字緒川字大門一区3-2,採用担当,0562-82-0700(代表),
国際自動車グループ,https://www.km-recruit.jp/,https://employment.en-japan.com/desc_1003722/?PK=CECD03&arearoute=1,＜今回の国際自動車グループの合同募集の応募受付は、国際自動車株式会社 （採用課） が行ないます＞//【採用課】/〒107-0052/東京都港区赤坂2-8-3　km赤坂ビルANNNEX2　2階,茅根（ちのね）,0120-03-5931,
株式会社藤田電気商会,http://www.fe-co.jp/,https://employment.en-japan.com/desc_1037841/?PK=CECD03&arearoute=1,【本社】/〒039-1164/青森県八戸市下長一丁目6番21号,採用担当,0178-28-9991,
パーソルチャレンジ株式会社,https://challenge.persol-group.co.jp,https://employment.en-japan.com/desc_1038340/?PK=594DFA&arearoute=1,本社／〒108-0014　東京都港区芝5-33-1 森永プラザビル本館18F・19F,採用担当,03-6478-1730,recruit@persol.co.jp
学校法人三幸学園,https://www.sanko.ac.jp/,https://employment.en-japan.com/desc_1039352/?PK=594DFA&arearoute=1,東京都新宿区西新宿6-5-1新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社ボディーズ,http://www.bodies.jp/,https://employment.en-japan.com/desc_1030381/?PK=594DFA&arearoute=1,〒100-0005　/東京都千代田区丸の内3-1-1　国際ビルヂング　B2F,人事課 採用担当,03-5288-7722,
社会福祉法人ほしの会,http://hoshino-kai.com/,https://employment.en-japan.com/desc_1037647/?PK=594DFA&arearoute=1,大阪府大阪市西成区松3-12-35,採用担当,06-6661-0999,
株式会社ケーイーシー,https://www.kec.gr.jp/,https://employment.en-japan.com/desc_1037728/?PK=594DFA&arearoute=1,■大阪第二本社/〒545-6033　大阪市阿倍野区阿倍野筋1-1-43　あべのハルカス33F,採用担当,06-6624-2103(人事直通),
セントケア東京株式会社（セントケア・グループ）,https://www.saint-care.com/tokyo/,https://employment.en-japan.com/desc_1038089/?PK=594DFA&arearoute=1,【セントケア東京株式会社 本社事業部】/〒104-0032/東京都中央区八丁堀4-10-11　ネオ神谷ビル4F,採用担当,03-6222-1071,
株式会社リクルートゼクシィなび,http://www.recruit-zexy-navi.jp/,https://employment.en-japan.com/desc_1039910/?PK=594DFA&arearoute=1,〒104‐8227/東京都中央区銀座7-3-5　ヒューリック銀座7丁目ビル,採用担当,03-6835-6660(平日10:00～19:00),
株式会社コペル 本社,http://copel.co.jp,https://employment.en-japan.com/desc_1040051/?PK=594DFA&arearoute=1,〒160-0023/東京都新宿区西新宿1-1-6　ミヤコ新宿ビル1203号室,03-6455-4165,,
中部薬品株式会社,https://www.vdrug.co.jp/,https://employment.en-japan.com/desc_1006413/?PK=594DFA&arearoute=1,【本社】〒507-0078 /岐阜県多治見市高根町4-29,採用担当,0572-27-3356(管理本部直通),
株式会社享成自動車学校	,http://kyosei-ds.jp/,https://employment.en-japan.com/desc_1036652/?PK=594DFA&arearoute=1,〒445-0802/愛知県西尾市米津町荒子24,採用担当,0563-56-7323,
社会福祉法人檸檬会,https://www.lemonkai.or.jp/,https://employment.en-japan.com/desc_1037182/?PK=594DFA&arearoute=1,■法人本部／和歌山県紀の川市古和田240,採用担当,0120-50-7315,
社会福祉法人里心会,https://rissin.or.jp/,https://employment.en-japan.com/desc_1037242/?PK=594DFA&arearoute=1,＜ユーカリ保育園＞/〒299-0269/袖ヶ浦市袖ヶ浦駅前1-22-3,採用担当,0438-40-5356,
株式会社川島コーポレーション,https://www.sunnylife-group.co.jp/,https://employment.en-japan.com/desc_1037302/?PK=594DFA&arearoute=1,東京事務所／〒104-0041 東京都中央区銀座1-9-7 陽栄銀座第2ビル6階,採用担当,03-3563-3601,
社会福祉法人共生社,https://kyoseisha.or.jp/,https://employment.en-japan.com/desc_1037708/?PK=594DFA&arearoute=1,【あじさい学園八千代】/〒300-3561　茨城県結城郡八千代町平塚4753,採用担当,0296-48-3882,
株式会社アルテ,https://dayasuka.amebaownd.com/,https://employment.en-japan.com/desc_1037744/?PK=594DFA&arearoute=1,■放課後等デイサービス　つばさ/〒564-0032 大阪府吹田市内本町3-26-32 2F,採用担当（岡林）,06-6155-9922,
株式会社ポラリス,https://polaris-recruit.com/,https://employment.en-japan.com/desc_1038013/?PK=594DFA&arearoute=1,■本社/〒665-0835 /兵庫県宝塚市旭町3-9-1ポラリス本社ビル,中村,0800-777-8080(採用専用フリ-ダイヤル),
カラダ整体メンテナンス Re:Bone（株式会社ベンチャーバンク）,http://www.venturebank.co.jp/,https://employment.en-japan.com/desc_1038129/?PK=594DFA&arearoute=1,【本社】/〒107-0061/東京都港区北青山1-2-3青山ビル11階,経営サポート部　人事採用担当,03-6386-3380,
アンダンテ株式会社,http://www.andante-inc.com,https://employment.en-japan.com/desc_1038665/?PK=594DFA&arearoute=1,〒222-0033/神奈川県横浜市港北区新横浜2-6-13　新横浜ステーションビル7F A室,採用担当,045-594-8945,
株式会社poco A poco,http://sapporohelper.com/,https://employment.en-japan.com/desc_1039162/?PK=594DFA&arearoute=1,【本社】/〒004-0053/札幌市厚別区厚別中央3条3-2-17 ヴィビ新さっぽろ1F,採用担当,011-378-9815,
医療法人社団翔友会 品川美容外科 品川スキンクリニック,https://recruit-shoyukai.com/,https://employment.en-japan.com/desc_1039199/?PK=594DFA&arearoute=1,【本部事務所】/〒108-0075/東京都港区港南2-5-3 オリックス品川ビル5F,採用担当,0120-190-161／【つながりにくい場合】03-5461-4194,
株式会社SKコーポレーション,http://www.realize-sk.co.jp/,https://employment.en-japan.com/desc_1039959/?PK=594DFA&arearoute=1,〒213-0013/神奈川県川崎市高津区末長3-19-8　サンパリス1F,採用担当,044-750-8148,
株式会社S.N.H.,http://www.milkyway-international.com/,https://employment.en-japan.com/desc_1039989/?PK=594DFA&arearoute=1,〒272-0033/千葉県市川市市川南3-5-13 マリアージュ市川201号室,小糸,070-1532-8438,jinji@milkyway-international.jp
有限会社エスエヌ企画,http://s-dps.com/index.html,https://employment.en-japan.com/desc_1036494/?PK=594DFA&arearoute=1,【上永谷教室】神奈川県横浜市港南区丸山台2-18-4 ラヴィ丸山台201,木村,045-349-3497／090-6171-9184,
株式会社リンリン,https://happyrinrin.com/,https://employment.en-japan.com/desc_1037426/?PK=594DFA&arearoute=1,〒460-0008/愛知県名古屋市中区栄5-10-3　KMビル3F,採用担当,052-261-7773,
株式会社JALUXトラスト,http://www.jalux-trust.com/,https://employment.en-japan.com/desc_1037649/?PK=594DFA&arearoute=1,＜佐倉サテライトオフィス＞/〒285-0005　千葉県佐倉市宮前3-15-1,業務部採用担当,043-497-4595,
株式会社スマイルクリエーション,http://smile-creation.co.jp/,https://employment.en-japan.com/desc_1037875/?PK=594DFA&arearoute=1,〒146-0082/東京都大田区池上8-12-6 2F,03-5747-5255,,
医療法人紺医会 介護老人保健施設神奈川苑,https://www.kanagawaen.com/,https://employment.en-japan.com/desc_1037980/?PK=594DFA&arearoute=1,〒221-0864/神奈川県横浜市神奈川区菅田町1989,採用担当,045-470-2502,
学校法人藤川学園,http://www.ebc.ac.jp/group,https://employment.en-japan.com/desc_1038351/?PK=594DFA&arearoute=1,【本校】〒812-0011 福岡市博多区博多駅前3-29-8,本部採用担当,092-409-2290,
社会福祉法人和悦会,http://www.waetsukai.jp/,https://employment.en-japan.com/desc_1039376/?PK=594DFA&arearoute=1,＜浜特別養護老人ホーム＞大阪市鶴見区浜5丁目6-14,採用担当,06-4257-3660,
株式会社明光ネットワーク九州,http://www.v-meiko.co.jp/,https://employment.en-japan.com/desc_1040135/?PK=594DFA&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社宮崎電気商会,https://miyazakidenki.com/,https://employment.en-japan.com/desc_1037185/?PK=594DFA&arearoute=1,【友丘ひまわり子ども園】/〒814-0112/福岡市城南区友丘1-7-1,採用担当,092-707-4101,
医療法人社団にしうら歯科クリニック,http://www.nishiura-shika.com/,https://employment.en-japan.com/desc_1039300/?PK=594DFA&arearoute=1,〒661-0979/兵庫県尼崎市上坂部3-13-10 松田ビル1F,川原（医療事務）,06-4960-1118,info@nishiura-shika.com
医療法人社団由穂会 あかりクリニック,https://akarihappy.jp/,https://employment.en-japan.com/desc_1040003/?PK=594DFA&arearoute=1,三軒茶屋あかりクリニック／東京都世田谷区三軒茶屋1-32-14 園田ビル3F,03-5430-9055,,
株式会社シーボン（C’BON/東証一部上場）,http://www.cbon.co.jp/,https://employment.en-japan.com/desc_993160/?PK=594DFA&arearoute=1,〒216-8556/神奈川県川崎市宮前区菅生1-20-8,採用担当,0120-279-455,
株式会社エム・シーネットワークスジャパン 銀座カラー,https://ginza-calla.jp/,https://employment.en-japan.com/desc_1036440/?PK=594DFA&arearoute=1,本社／東京都港区六本木3-2-1　住友不動産六本木グランドタワー34階,採用担当,0120-999-870,
有限会社井口葬儀店,http://www.e-iguchi.co.jp,https://employment.en-japan.com/desc_1039173/?PK=594DFA&arearoute=1,東京都国分寺市本多5-4-5,採用担当,042-323-6920,
株式会社17 Media Japan,https://17media.jp/,https://employment.en-japan.com/desc_1039315/?PK=594DFA&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
